instance_id	variant	nonempty	patch_sha256	result_rows	dataset_source	problem_statement_tokens	first_prompt_profile	context_profile_version	response_prefill	max_retries	generation_extra_body	candidate_entity_count	candidate_file_count	candidate_class_scope_count	first_prompt_rendered_entity_count	first_prompt_source_entity_count	first_prompt_tokens	retry_count	final_status	applied_file_count
astropy__astropy-13236	bm25	1	0bf7da8a0a449fb90d9de6b683528ea30f8d4ab7c23a28e1f8769c406558c667	1	SWE-bench_Verified	473	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	3	2	14	4	3734	0	success	1
astropy__astropy-13977	bm25	1	757fdfeb8fae24704ef1b0d990035deeaa32701bea86bb12957012878ed107be	1	SWE-bench_Verified	899	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	7	6	18	2	3974	0	success	1
astropy__astropy-7336	bm25	1	78d8dfefca51ab13b63926aa43e00c7fe150d05616e84e727bc076cbebdf35b3	1	SWE-bench_Verified	388	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	4	9	18	5	3772	0	success	1
astropy__astropy-7606	bm25	1	927857f164946d0398bed9720e298c5f1f902d5888fb693aa0f3d7de73ad34e1	1	SWE-bench_Verified	281	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	5	14	20	6	3500	0	success	1
django__django-10880	bm25	1	d1040b18c24f2534768ed491229a91853dc2beef105d8cae757dc07babbcbaae	1	SWE-bench_Verified	59	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	7	4	18	8	3688	0	success	1
django__django-11740	bm25	1	d65e34ca19b6c90d645c073c85ac319b7a13fbd1ece86cbb3ec0e6d6e0d10c35	1	SWE-bench_Verified	492	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	10	8	13	2	3339	1	success	1
django__django-11964	bm25	1	60d3c1ea2e874235ba4db51096fe8e03078cbf0c0c5c67a0591cd2f7bd21e947	1	SWE-bench_Verified	518	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	5	11	20	2	3769	1	success	1
django__django-12193	bm25	1	5cf7acdf3b31c0e68c3942d5d87420d592960518ce1da0d543aefa0a038b0032	1	SWE-bench_Verified	158	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	4	18	20	4	3638	0	success	1
django__django-12419	bm25	1	2a1fd3d45e63f286419c062a10f42ca9f650c5f1ba86e6afb2cb19e7bdd5575e	1	SWE-bench_Verified	159	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	16	6	5	16	6	3871	0	success	1
django__django-12965	bm25	1	61ef3b9dc12240e81d163a03d8ac541bd9738eaac1d426cd6c597a86ce5c83de	1	SWE-bench_Verified	676	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	8	9	18	2	3696	1	success	1
django__django-13033	bm25	1	723dabd5b1e08457fa7de605b0f0e2fc9d41c4a6f96872417ae148ad62bd10ab	1	SWE-bench_Verified	1054	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	7	6	18	2	3642	1	success	1
django__django-13449	bm25	1	3896c294a7ad04e6f8ddb8192cc7cdfff36b5cad266a4e285946b2733d53ee8d	1	SWE-bench_Verified	1209	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	13	8	4	8	2	3907	1	success	1
django__django-13569	bm25	1	fb01b9b4da5bf867d293f207004d4276ad0ba6c68e8aac90873d529e183d4167	1	SWE-bench_Verified	511	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	16	6	0	16	6	3916	0	success	1
django__django-13809	bm25	1	608e37fbe2974c32d17a8f83fe7d4735be8fc5ead86f5a28c089ed70cdf27897	1	SWE-bench_Verified	98	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	10	16	20	4	3529	0	partial	1
django__django-14034	bm25	0		1	SWE-bench_Verified	316	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	6	10	20	4	3788	1	failed	0
django__django-14140	bm25	1	c2d5ba41b2dd09d6ac2fbb9f6950c3d3639d1abb591ba346304ed5d88e32fd3a	1	SWE-bench_Verified	285	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	19	6	6	19	6	3855	0	success	1
django__django-14170	bm25	1	d4372776eb07f2e8f76cc3cf8ecb5cdbe4e8395b6c1729644cc3971443792637	1	SWE-bench_Verified	428	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	3	3	14	7	3749	1	success	1
django__django-14238	bm25	1	45509abd154852870650c115fd29bb10a4a780aad65576b5cd4625e377d5ee92	1	SWE-bench_Verified	694	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	4	14	20	3	3760	0	success	1
django__django-14351	bm25	1	f4c4f81e5f35c3d75d0438b54b6d841ce590918c400fbbf3f36e14cb44836728	1	SWE-bench_Verified	1212	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	9	6	17	2	3732	1	success	1
django__django-15103	bm25	1	0bb297532623489f713061691156423d9bb0253b5fb18947eb9c0e8ca27c01a2	1	SWE-bench_Verified	88	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	12	1	17	8	3456	0	success	2
django__django-15104	bm25	1	943f9a911650671c110778dddb752853cce79112be5f04bec5af49e05c021a19	1	SWE-bench_Verified	1122	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	2	0	18	3	3785	0	success	1
django__django-15268	bm25	1	eb8923cef913cd084349fdca50aaa05ed8e27aa70752b9aa483f55669fdca946	1	SWE-bench_Verified	329	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	19	7	8	19	6	3950	0	success	1
django__django-15280	bm25	1	695a8c0a0d93beb27b8858ae38b1af249a6d6a2358fd00d67aae948ea85067ea	1	SWE-bench_Verified	601	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	6	4	17	6	3928	0	success	1
django__django-15499	bm25	1	e3592d09cf2d194a5bc552154967d178175de0417bd644ebb9a74d7d8aa52a62	1	SWE-bench_Verified	53	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	19	6	14	19	6	3921	0	success	1
django__django-15503	bm25	1	820803ce33874331d02ebc1019d4e77387408342d222bdf0e52914bfc7bbf076	1	SWE-bench_Verified	515	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	6	3	14	8	3816	0	success	1
django__django-15569	bm25	1	06be5e3050d04174e1ec291c88d6c3964279e1b73509af386168b86313c6c952	1	SWE-bench_Verified	157	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	5	9	20	7	3873	0	success	1
django__django-15957	bm25	1	c224f2779ae0eb08ec74c3f538647d95b331ae84d311bc3578daddf0f2ff1f8d	1	SWE-bench_Verified	184	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	15	7	6	15	7	3671	0	success	1
django__django-16315	bm25	1	53224a72d68d57250e38e90ac15af3ad77d50e71ba61f31815372456f4c30d65	1	SWE-bench_Verified	317	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	9	2	18	6	3712	0	partial	1
django__django-16612	bm25	1	c6a5f42d8bb44a81913b1cd90e673b01d43331b230b7d441e46f5e44c0a480b1	1	SWE-bench_Verified	201	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	6	8	14	8	3570	0	success	1
django__django-17029	bm25	1	1cc19ac6aa8da03d1b78bd83363dfbd40b6906e3754990861ca7e1996aaee7e6	1	SWE-bench_Verified	239	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	5	2	20	8	3482	0	success	1
django__django-9296	bm25	1	2c192e36aaa2357c0dd626828bea7754d88e4208da8b8207b818fab665a70939	1	SWE-bench_Verified	95	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	8	16	20	6	3758	0	success	1
matplotlib__matplotlib-26208	bm25	1	6f9876853df93f6da644f1c96450ee1d50a23c0258f9e5c5709331cb3c9a4c4f	1	SWE-bench_Verified	611	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	9	1	16	2	3325	0	success	1
psf__requests-2931	bm25	1	f13cbacf3b3e301b7aa420f30208d0e733592e0bbb7a366caed48eea54d33c4e	1	SWE-bench_Verified	83	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	19	7	8	19	8	3796	0	success	1
pydata__xarray-2905	bm25	1	7738aaadc4a27dfecae26e79c7d5b45e79497817efa2cbce145465c27b792270	1	SWE-bench_Verified	661	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	4	3	18	7	3948	0	success	1
pydata__xarray-4356	bm25	1	e9f6203d882856018d4c3670ae5409dba2f1267926c8d4b2f2bd60cfd7c5b8f9	1	SWE-bench_Verified	206	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	16	8	0	16	8	3809	1	success	1
pydata__xarray-4966	bm25	0		1	SWE-bench_Verified	1210	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	19	9	1	17	2	3884	1	failed	0
pydata__xarray-6938	bm25	1	23849c4cc9759e1633932f47087e4bd6be32baa9e4e0641a4cb1ed875154286c	1	SWE-bench_Verified	923	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	6	0	14	4	3855	0	success	1
pylint-dev__pylint-4661	bm25	1	223c6cde3453f6426ef38fa20030bf4469a39d50e196bfca237b006475c111fe	1	SWE-bench_Verified	224	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	10	6	0	1	1	3315	1	success	1
pylint-dev__pylint-6528	bm25	1	edc2fc52fe63ab8e8f80f3001cf3de67ce5bc6a2a89684440d4397cd89589d0f	1	SWE-bench_Verified	565	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	10	0	12	2	3072	1	success	1
pytest-dev__pytest-10081	bm25	1	22287d4841703e64897cfd9acb02f13f8bfdd8ecd46bc1cb2d3b4c5fa4e0dc59	1	SWE-bench_Verified	719	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	12	6	17	2	3769	0	success	1
pytest-dev__pytest-5631	bm25	1	269fd95b81f102f2d8984d4491fd88a6ef7a4f0640af33334824a9841641702e	1	SWE-bench_Verified	639	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	7	6	18	6	3801	0	success	1
pytest-dev__pytest-6202	bm25	1	eb515a1b32cac24d4a2d76703d92fdf8c3246f71cc08505bf3827f4f5641249c	1	SWE-bench_Verified	656	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	19	6	12	19	4	3554	0	success	1
sphinx-doc__sphinx-10435	bm25	1	d7b38ab6577cd187deb0e458f5c16652c2c8fc6612685b1b9fabab7362c6081a	1	SWE-bench_Verified	784	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	10	3	11	2	3797	1	success	1
sphinx-doc__sphinx-10673	bm25	1	6334707cdaa4abdb1d08b130ce5c1b6995976debc2d2112f662aefce3297315b	1	SWE-bench_Verified	345	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	9	5	18	2	3704	0	partial	1
sphinx-doc__sphinx-7454	bm25	1	d75fd74700ca821d64cbbe79ac40492e841079e332bce378837842c66985e997	1	SWE-bench_Verified	761	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	16	6	4	16	4	3603	0	success	1
sphinx-doc__sphinx-8593	bm25	1	2588b7881e2928e81872959d77edba50ad45243714191c7625bc2c5e469d13a0	1	SWE-bench_Verified	179	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	3	7	18	4	3512	0	success	1
sphinx-doc__sphinx-9258	bm25	1	b77501ab4f29421578d3cb58e590d62c9aa8f4f99f3cf032e9837326ee8d6da1	1	SWE-bench_Verified	130	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	15	8	4	15	2	3773	1	success	1
sphinx-doc__sphinx-9281	bm25	1	ae4c0683dc15b31fbdf2190c39ac118977a54e7089571b0157bbded7b0a389e5	1	SWE-bench_Verified	210	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	16	8	5	16	2	3730	0	success	1
sphinx-doc__sphinx-9367	bm25	1	7f323ded5241e46c48483e94fb62e5cc4eb484a86ef017ebe099a81a572c76c3	1	SWE-bench_Verified	142	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	19	8	5	19	8	3751	0	success	1
sympy__sympy-13091	bm25	1	e46b31f8cba67381caaa123f0ef1fbb741ecd3d0175c196cb7c2aa5bc0c5311e	1	SWE-bench_Verified	433	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	8	2	14	8	3803	0	success	2
sympy__sympy-16597	bm25	1	a3e69ac49ff9a852a793fe22d737b333197c53db7c17b1e4f4821b327ef7fc90	1	SWE-bench_Verified	88	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	6	0	14	6	3603	0	success	1
sympy__sympy-18763	bm25	1	24327f1a7ebf658b028a7afd3ab42499c5de27ef03742b0f1f185a3bd20442be	1	SWE-bench_Verified	208	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	13	9	2	13	7	2904	0	success	1
sympy__sympy-20590	bm25	1	cb4c559028f9399711c66455f75ef00eb82f1ea31f64e0df22d121b4db1d5699	1	SWE-bench_Verified	187	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	10	5	2	10	4	2898	0	success	1
